,id,prediction,label,correct_prediction
0,624529497740607489,1,1,True
1,624494561017110528,-1,-1,True
2,624517215073599488,1,1,True
3,624521217379278848,1,1,True
4,624522387036487680,-1,1,False
5,624521444291022848,-1,1,False
6,624493465900965892,-1,-1,True
7,624527042948673540,1,1,True
8,624493687947530240,-1,-1,True
9,624494342930100224,-1,-1,True
10,624492570278785024,-1,-1,True
11,624529469903106048,-1,1,False
12,624492093336092672,-1,-1,True
13,624518896880488449,1,1,True
14,624518803020353536,1,1,True
15,624493592317435904,-1,-1,True
16,624527767795707904,-1,1,False
17,624492784683094016,-1,-1,True
18,624494897261735936,-1,-1,True
19,624528493582286852,1,1,True
20,624525123345735681,-1,1,False
21,624525519535652864,1,1,True
22,624493092687716352,1,-1,False
23,624493271377661952,1,-1,False
24,624525777950900225,1,1,True
25,624528425789882368,1,1,True
26,624493323063963648,1,-1,False
27,624524388877012992,1,1,True
28,624494869973704704,1,-1,False
29,624492888970403841,1,-1,False
30,624492913435758592,-1,-1,True
31,624516973272170496,1,1,True
32,624492610665603072,1,-1,False
33,624527035113848832,-1,1,False
34,624525106920951808,1,1,True
35,624517411853611008,-1,1,False
36,624494715250044928,1,-1,False
37,624492351059144705,1,-1,False
38,624526365434511360,1,1,True
39,624494777350799360,-1,-1,True
40,624521148622094336,1,1,True
41,624529119322071041,1,1,True
42,624494295018549248,-1,-1,True
43,624527589508407296,1,1,True
44,624529670428475392,-1,1,False
45,624492656387858433,-1,-1,True
46,624493531483254784,-1,-1,True
47,624523187670396928,1,1,True
48,624493628812083200,1,-1,False
49,624494738268237825,-1,-1,True
50,624492440230170624,1,-1,False
51,624492583956410368,1,-1,False
52,624526702505410560,1,1,True
53,624493247008649216,-1,-1,True
54,624520713114910720,1,1,True
55,624493066359975937,-1,-1,True
56,624526254541275136,1,1,True
57,624494647583358976,1,-1,False
58,624494931843895296,-1,-1,True
59,624494233014005761,-1,-1,True
60,624492873887694848,-1,-1,True
61,624493113281781760,1,-1,False
62,624528857983418368,1,1,True
63,624493680058073088,1,-1,False
64,624521424951230464,1,1,True
65,624492689623531520,-1,-1,True
66,624492881345052672,-1,-1,True
67,624517312280854530,1,1,True
68,624495023715930112,-1,-1,True
69,624518976219942912,1,1,True
70,624525865699930114,-1,1,False
71,624519607961829376,1,1,True
72,624521605411008512,1,1,True
73,624492868380590080,-1,-1,True
74,624494220078809088,-1,-1,True
75,624517584902324224,-1,1,False
76,624529813122846720,-1,1,False
77,624517104067325952,-1,1,False
78,624493600286580736,-1,-1,True
79,624494750918438912,-1,-1,True
80,624493408803946496,-1,-1,True
81,624519285860376576,1,1,True
82,624518631079084032,-1,1,False
83,624518952874586114,1,1,True
84,624527120270688256,-1,1,False
85,624521724436938752,-1,1,False
86,624492890409054208,-1,-1,True
87,624494623612891136,1,-1,False
88,624494839678156800,1,-1,False
89,624494758086508544,-1,-1,True
90,624494991335923716,-1,-1,True
91,624494625886216192,-1,-1,True
92,624519413862133760,1,1,True
93,624524696294457344,1,1,True
94,624522206215704577,1,1,True
95,624518841285001217,1,1,True
96,624492383791616000,-1,-1,True
97,624521362896474112,1,1,True
98,624494925518770176,1,-1,False
99,624495089407037440,-1,-1,True
100,624492618014179328,-1,-1,True
101,624519827210637312,-1,1,False
102,624517365758193664,1,1,True
103,624522599603662848,1,1,True
104,624521731508670464,1,1,True
105,624495110546456577,-1,-1,True
106,624520506457391104,-1,1,False
107,624517575544827904,1,1,True
108,624492321850068992,1,-1,False
109,624521250954571777,-1,1,False
110,624494203494617088,-1,-1,True
111,624494700406407168,1,-1,False
112,624519976297320448,-1,1,False
113,624518594727014400,1,1,True
114,624524444858454016,-1,1,False
115,624493238192340992,1,-1,False
116,624523349377576960,-1,1,False
117,624520268183171072,1,1,True
118,624495099951476737,-1,-1,True
119,624522340764811264,-1,1,False
120,624523386090319872,-1,1,False
121,624524557685145601,-1,1,False
122,624527313200398336,-1,1,False
123,624528280746635264,1,1,True
124,624492033420460032,1,-1,False
125,624525124125851648,1,1,True
126,624525490875805696,1,1,True
127,624492766886760448,-1,-1,True
128,624519619269804032,1,1,True
129,624528038571732992,-1,1,False
130,624523260357513216,1,1,True
131,624529026829389824,-1,1,False
132,624523839142293504,1,1,True
133,624526738995978240,1,1,True
134,624492292653584384,1,-1,False
135,624494399368634368,-1,-1,True
136,624494022539653121,-1,-1,True
137,624494323866808320,-1,-1,True
138,624494181956784128,-1,-1,True
139,624516949238775808,1,1,True
140,624494184150487040,1,-1,False
141,624524144030433280,1,1,True
142,624492358311108609,-1,-1,True
143,624529324041854976,1,1,True
144,624493701696495616,1,-1,False
145,624493743836520448,-1,-1,True
146,624492690202234880,1,-1,False
147,624530031172153346,1,1,True
148,624519296316604416,1,1,True
149,624494995555414016,-1,-1,True
150,624493674747924480,-1,-1,True
151,624525442255581184,1,1,True
152,624524133917835264,1,1,True
153,624522626183008256,1,1,True
154,624518014709268480,1,1,True
155,624492230430973952,1,-1,False
156,624529856722669568,1,1,True
157,624492117776203776,-1,-1,True
158,624493276603772928,-1,-1,True
159,624494956586008576,-1,-1,True
160,624493497274474496,1,-1,False
161,624518218607038464,1,1,True
162,624529585590284289,1,1,True
163,624522996116520960,1,1,True
164,624528047132311552,1,1,True
165,624492812931887104,-1,-1,True
166,624528506009993216,-1,1,False
167,624526387924365312,1,1,True
168,624492673252995072,-1,-1,True
169,624527608701554688,1,1,True
170,624522608361353216,1,1,True
171,624525564133543936,1,1,True
172,624523274743996416,1,1,True
173,624494461435944960,-1,-1,True
174,624520310851825664,1,1,True
175,624518235380166656,1,1,True
176,624492833911738368,-1,-1,True
177,624492035630854144,1,-1,False
178,624494636657192960,1,-1,False
179,624527320104108033,1,1,True
180,624494619238084608,1,-1,False
181,624526278234779648,1,1,True
182,624522727580434432,1,1,True
183,624494652700405760,-1,-1,True
184,624495098097745920,1,-1,False
185,624492058162675712,-1,-1,True
186,624524127228067840,1,1,True
187,624523454860103680,-1,1,False
188,624492351155650560,-1,-1,True
189,624493873042206720,-1,-1,True
190,624493965534892032,-1,-1,True
191,624529249840443393,1,1,True
192,624494833554583552,1,-1,False
193,624526969548345344,1,1,True
194,624522209952858112,1,1,True
195,624528685702451200,-1,1,False
196,624493968449867776,1,-1,False
197,624517714699268096,1,1,True
198,624520787576406016,1,1,True
199,624493905829040128,-1,-1,True
200,624527911320616960,1,1,True
201,624493054544576512,-1,-1,True
202,624493696432496640,-1,-1,True
203,624492273523392512,-1,-1,True
204,624520254203535361,1,1,True
205,624517272493621248,1,1,True
206,624530034460504064,1,1,True
207,624529030126116864,-1,1,False
208,624517641688854528,-1,1,False
209,624494742575910912,-1,-1,True
210,624523688918921217,1,1,True
211,624518987695673344,1,1,True
